,SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
0,2802425,108129,Cash loans,25188.615,607500.0,679671.0,,607500.0,THURSDAY,11,Y,1,,,,XNA,Approved,-164,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,36.0,low_action,Cash X-Sell: low,365243.0,-134.0,916.0,365243.0,365243.0,1.0
1,1168659,101529,Cash loans,,0.0,0.0,,,TUESDAY,11,Y,1,,,,XNA,Refused,-115,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2,2686051,101529,Cash loans,,0.0,0.0,,,TUESDAY,9,Y,1,,,,XNA,Canceled,-164,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
3,2833823,106086,Consumer loans,6232.725,58050.0,52245.0,5805.0,58050.0,FRIDAY,12,Y,1,0.1089090909090909,,,XAP,Approved,-1555,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,135,Furniture,10.0,middle,POS industry with interest,365243.0,-1524.0,-1254.0,-1254.0,-1252.0,0.0
4,1665343,110713,Consumer loans,17769.735,143487.0,175549.5,0.0,143487.0,TUESDAY,13,Y,1,0.0,,,XAP,Approved,-1092,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,3000,Consumer electronics,12.0,middle,POS household with interest,365243.0,-1061.0,-731.0,-731.0,-722.0,0.0
5,1041414,107678,Consumer loans,,24480.0,24480.0,0.0,24480.0,SUNDAY,12,Y,1,0.0,,,XAP,Refused,-1252,Cash through the bank,LIMIT,,Repeater,Mobile,XNA,XNA,Country-wide,92,Connectivity,,XNA,POS mobile with interest,,,,,,
6,1891648,100373,Consumer loans,10872.99,115695.0,115119.0,11569.5,115695.0,SATURDAY,22,Y,1,0.099458413926499,,,XAP,Approved,-1053,Cash through the bank,XAP,Unaccompanied,New,Medicine,POS,XNA,Stone,25,Industry,12.0,low_normal,POS household with interest,365243.0,-1013.0,-683.0,-713.0,-709.0,0.0
7,1581859,105915,Revolving loans,2250.0,45000.0,45000.0,,45000.0,WEDNESDAY,14,Y,1,,,,XAP,Refused,-308,XNA,LIMIT,Unaccompanied,Refreshed,XNA,Cards,walk-in,Country-wide,50,Connectivity,0.0,XNA,Card Street,,,,,,
8,2283315,102649,Consumer loans,12540.6,60423.255,63414.0,1.755,60423.255,SUNDAY,15,Y,1,3.014005818356252e-05,,,XAP,Approved,-1452,Cash through the bank,XAP,Unaccompanied,New,Construction Materials,POS,XNA,Stone,463,Construction,6.0,high,POS industry with interest,365243.0,-1421.0,-1271.0,-1271.0,-1262.0,0.0
9,1348316,104826,Revolving loans,22500.0,450000.0,450000.0,,450000.0,MONDAY,14,Y,1,,,,XAP,Refused,-183,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,,,,,,
10,1669367,101479,Cash loans,17079.255,135000.0,143910.0,,135000.0,SATURDAY,11,Y,1,,,,XNA,Approved,-1089,Cash through the bank,XAP,Family,New,XNA,Cash,walk-in,Country-wide,44,Connectivity,12.0,high,Cash Street: high,365243.0,-1059.0,-729.0,-789.0,-787.0,1.0
11,1117709,104260,Consumer loans,,65646.0,65646.0,0.0,65646.0,SATURDAY,12,Y,1,0.0,,,XAP,Unused offer,-363,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,70,Connectivity,,XNA,POS mobile with interest,,,,,,
12,1974842,101167,Consumer loans,5437.53,120060.0,120060.0,0.0,120060.0,MONDAY,18,Y,1,0.0,,,XAP,Approved,-820,Cash through the bank,XAP,Family,Repeater,Computers,POS,XNA,Country-wide,955,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-789.0,-99.0,-249.0,-247.0,0.0
13,2362146,106561,Consumer loans,9440.64,144000.0,144000.0,0.0,144000.0,MONDAY,11,Y,1,0.0,,,XAP,Approved,-380,XNA,XAP,,New,Homewares,POS,XNA,Stone,5,Construction,18.0,low_normal,POS other with interest,365243.0,-345.0,165.0,-15.0,-3.0,0.0
14,2242203,103450,Consumer loans,19045.08,91462.5,85711.5,9148.5,91462.5,SUNDAY,17,Y,1,0.1050342418492323,,,XAP,Approved,-1773,Cash through the bank,XAP,Group of people,Refreshed,Audio/Video,POS,XNA,Country-wide,1000,Consumer electronics,5.0,middle,POS household with interest,365243.0,-1742.0,-1622.0,-1622.0,-1619.0,0.0
15,1032852,103687,Cash loans,13224.6,103500.0,110331.0,,103500.0,TUESDAY,19,Y,1,,,,XNA,Approved,-209,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,high,Cash X-Sell: high,365243.0,-179.0,151.0,-179.0,-176.0,1.0
16,2670402,100077,Cash loans,,0.0,0.0,,,WEDNESDAY,14,Y,1,,,,XNA,Refused,-217,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
17,2779256,109724,Consumer loans,,86782.5,86782.5,0.0,86782.5,THURSDAY,14,Y,1,0.0,,,XAP,Unused offer,-120,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,27,Connectivity,,XNA,POS mobile with interest,,,,,,
18,2749182,110896,Cash loans,13794.75,135000.0,143910.0,,135000.0,TUESDAY,8,Y,1,,,,XNA,Approved,-1101,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,low_normal,Cash X-Sell: low,365243.0,-1071.0,-741.0,-921.0,-914.0,1.0
19,1455040,107888,Consumer loans,2810.16,62379.0,62379.0,0.0,62379.0,SATURDAY,13,Y,1,0.0,,,XAP,Approved,-263,Cash through the bank,XAP,Family,Refreshed,Mobile,POS,XNA,Country-wide,2500,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-233.0,457.0,365243.0,365243.0,0.0
20,1514511,101011,Consumer loans,6856.065,65866.5,66735.0,6588.0,65866.5,FRIDAY,21,Y,1,0.0978537554258678,,,XAP,Approved,-627,Cash through the bank,XAP,Family,Refreshed,Consumer Electronics,POS,XNA,Country-wide,100,Consumer electronics,12.0,middle,POS household with interest,365243.0,-596.0,-266.0,-296.0,-289.0,0.0
21,2363657,104532,Consumer loans,7329.06,38844.0,36517.5,4050.0,38844.0,SUNDAY,14,Y,1,0.1087278777794584,,,XAP,Approved,-2487,XNA,XAP,"Spouse, partner",New,Mobile,POS,XNA,Stone,40,Connectivity,6.0,high,POS mobile with interest,365243.0,-2455.0,-2305.0,-2305.0,-2298.0,1.0
22,2124191,102135,Cash loans,,0.0,0.0,,,THURSDAY,16,Y,1,,,,XNA,Refused,-263,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
23,1539382,100425,Consumer loans,13410.27,120357.0,133065.0,0.0,120357.0,FRIDAY,15,Y,1,0.0,,,XAP,Approved,-589,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,2226,Consumer electronics,12.0,middle,POS household with interest,365243.0,-558.0,-228.0,-378.0,-351.0,0.0
24,1750658,107831,Consumer loans,8237.61,70110.0,79078.5,0.0,70110.0,FRIDAY,15,Y,1,0.0,,,XAP,Refused,-549,Cash through the bank,LIMIT,,Repeater,Computers,POS,XNA,Regional / Local,25,Consumer electronics,12.0,middle,POS household with interest,,,,,,
25,2691598,103702,Cash loans,,0.0,0.0,,,FRIDAY,15,Y,1,,,,XNA,Canceled,-311,XNA,XAP,,Repeater,XNA,XNA,XNA,AP+ (Cash loan),4,XNA,,XNA,Cash,,,,,,
26,1620548,107735,Revolving loans,27000.0,540000.0,540000.0,,540000.0,MONDAY,15,Y,1,,,,XAP,Approved,-415,XNA,XAP,,New,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0.0,XNA,Card X-Sell,-326.0,-276.0,365243.0,365243.0,365243.0,0.0
27,1683656,105928,Revolving loans,9000.0,0.0,180000.0,,,SATURDAY,10,Y,1,,,,XAP,Approved,-1045,XNA,XAP,,Repeater,XNA,Cards,x-sell,Country-wide,50,Connectivity,0.0,XNA,Card X-Sell,-1042.0,-1005.0,365243.0,365243.0,365243.0,0.0
28,1994011,107800,Consumer loans,17100.495,92475.0,92475.0,0.0,92475.0,MONDAY,14,Y,1,0.0,,,XAP,Approved,-204,Cash through the bank,XAP,Unaccompanied,Repeater,Furniture,POS,XNA,Stone,100,Consumer electronics,6.0,middle,POS household with interest,365243.0,-170.0,-20.0,-20.0,-16.0,0.0
29,2629155,101813,Consumer loans,22777.335,146245.5,123174.0,29250.0,146245.5,SATURDAY,15,Y,1,0.208995362219264,,,XAP,Approved,-379,Cash through the bank,XAP,,Repeater,Consumer Electronics,POS,XNA,Country-wide,100,Consumer electronics,6.0,middle,POS household with interest,365243.0,-348.0,-198.0,-198.0,-196.0,0.0
30,2361663,110031,Consumer loans,23388.165,233905.5,210514.5,23391.0,233905.5,SUNDAY,8,Y,1,0.1089111861608446,,,XAP,Refused,-2653,Cash through the bank,VERIF,"Spouse, partner",New,XNA,POS,XNA,Country-wide,1402,Consumer electronics,10.0,low_normal,POS household without interest,,,,,,
31,1614986,100151,Cash loans,6535.8,45000.0,55075.5,,45000.0,WEDNESDAY,13,Y,1,,,,XNA,Approved,-1041,Cash through the bank,XAP,Unaccompanied,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12.0,high,Cash Street: high,365243.0,-1011.0,-681.0,-681.0,-672.0,1.0
32,1605562,101457,Revolving loans,,0.0,0.0,,,SUNDAY,13,Y,1,,,,XAP,Canceled,-42,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
33,1072459,101615,Cash loans,,0.0,0.0,,,WEDNESDAY,12,Y,1,,,,XNA,Canceled,-373,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
34,2124946,103150,Cash loans,,0.0,0.0,,,THURSDAY,9,Y,1,,,,XNA,Canceled,-410,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
35,1111156,100667,Consumer loans,12739.32,68490.0,72108.0,0.0,68490.0,WEDNESDAY,11,Y,1,0.0,,,XAP,Approved,-260,XNA,XAP,,Repeater,Furniture,POS,XNA,Regional / Local,2880,Furniture,6.0,low_normal,POS industry with interest,365243.0,-229.0,-79.0,-79.0,-74.0,0.0
36,1801757,100916,Consumer loans,11468.7,100323.0,110916.0,0.0,100323.0,MONDAY,16,Y,1,0.0,,,XAP,Approved,-432,XNA,XAP,,New,Computers,POS,XNA,Country-wide,2170,Consumer electronics,12.0,middle,POS household with interest,365243.0,-401.0,-71.0,-131.0,-125.0,0.0
37,2581157,102757,Consumer loans,,63846.0,63846.0,0.0,63846.0,MONDAY,16,Y,1,0.0,,,XAP,Unused offer,-137,Cash through the bank,CLIENT,,Repeater,Computers,XNA,XNA,Country-wide,27,Connectivity,,XNA,POS mobile with interest,,,,,,
38,1826787,109223,Cash loans,,0.0,0.0,,,FRIDAY,15,Y,1,,,,XNA,Canceled,-148,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
39,2685304,100307,Cash loans,,0.0,0.0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-144,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
40,1242560,107970,Consumer loans,3962.97,72243.0,87502.5,0.0,72243.0,SUNDAY,11,Y,1,0.0,,,XAP,Approved,-948,Cash through the bank,XAP,"Spouse, partner",Repeater,Consumer Electronics,POS,XNA,Country-wide,2300,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-917.0,-227.0,-317.0,-311.0,0.0
41,1977600,111392,Cash loans,,0.0,0.0,,,FRIDAY,13,Y,1,,,,XNA,Canceled,-399,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
42,2536657,107755,Consumer loans,9412.605,208705.5,208705.5,0.0,208705.5,SATURDAY,9,Y,1,0.0,,,XAP,Approved,-1486,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Country-wide,2263,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-1455.0,-765.0,-765.0,-757.0,0.0
43,2399359,111561,Consumer loans,12709.08,120429.0,119110.5,12046.5,120429.0,TUESDAY,15,Y,1,0.1000307542591217,,,XAP,Approved,-1540,Cash through the bank,XAP,Family,New,Computers,POS,XNA,Country-wide,600,Consumer electronics,12.0,middle,POS household with interest,365243.0,-1509.0,-1179.0,-1179.0,-1171.0,0.0
44,1017959,106319,Consumer loans,11716.11,132030.0,115429.5,27000.0,132030.0,SATURDAY,7,Y,1,0.2064562084782615,,,XAP,Approved,-2162,XNA,XAP,Children,New,Consumer Electronics,POS,XNA,Regional / Local,1,Consumer electronics,12.0,middle,POS household with interest,365243.0,-2131.0,-1801.0,-1801.0,-1797.0,0.0
45,1772898,106596,Consumer loans,11040.39,128943.0,149368.5,0.0,128943.0,MONDAY,12,Y,1,0.0,,,XAP,Approved,-667,Cash through the bank,XAP,Family,Repeater,Computers,POS,XNA,Country-wide,1500,Consumer electronics,18.0,middle,POS household with interest,,,,,,
46,2640858,111158,Consumer loans,2657.25,50355.0,56025.0,0.0,50355.0,WEDNESDAY,18,Y,1,0.0,,,XAP,Approved,-1564,Cash through the bank,XAP,"Spouse, partner",New,Mobile,POS,XNA,Country-wide,1657,Consumer electronics,24.0,low_action,POS household without interest,365243.0,-1533.0,-843.0,-1203.0,-1196.0,0.0
47,1472768,102036,Consumer loans,6286.815,51705.0,51705.0,0.0,51705.0,FRIDAY,16,Y,1,0.0,,,XAP,Approved,-342,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Country-wide,35,Connectivity,12.0,high,POS mobile with interest,365243.0,-301.0,29.0,365243.0,365243.0,0.0
48,1788229,101469,Cash loans,,0.0,0.0,,,MONDAY,9,Y,1,,,,XNA,Canceled,-23,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
49,2669449,103889,Cash loans,,0.0,0.0,,,TUESDAY,13,Y,1,,,,XNA,Canceled,-80,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
50,1998259,101573,Consumer loans,10333.035,85950.0,83736.0,8595.0,85950.0,FRIDAY,10,Y,1,0.1013823782222261,,,XAP,Approved,-1781,Cash through the bank,XAP,Family,New,Consumer Electronics,POS,XNA,Stone,111,Consumer electronics,10.0,middle,POS household with interest,365243.0,-1747.0,-1477.0,-1507.0,-1499.0,0.0
51,2559053,104818,Consumer loans,3612.825,26280.0,25623.0,2610.0,26280.0,SUNDAY,9,Y,1,0.1006810212420667,,,XAP,Approved,-1434,Cash through the bank,XAP,,Refreshed,Mobile,POS,XNA,Country-wide,74,Connectivity,10.0,high,POS mobile with interest,365243.0,-1400.0,-1130.0,-1310.0,-1301.0,0.0
52,2255414,101485,Consumer loans,2067.39,19030.5,19107.0,1903.5,19030.5,FRIDAY,13,Y,1,0.0986689771997118,,,XAP,Refused,-1614,Cash through the bank,LIMIT,,Repeater,Mobile,POS,XNA,Country-wide,20,Connectivity,14.0,high,POS mobile with interest,,,,,,
53,1100712,107930,Consumer loans,2683.71,26055.0,26932.5,2605.5,26055.0,THURSDAY,13,Y,1,0.0960669768987867,,,XAP,Approved,-2171,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Country-wide,37,Connectivity,18.0,high,POS mobile with interest,365243.0,-2140.0,-1630.0,-2020.0,-1993.0,0.0
54,2492374,110103,Consumer loans,19881.855,222345.0,193027.5,45000.0,222345.0,SUNDAY,9,Y,1,0.2058967594462441,,,XAP,Approved,-1954,XNA,XAP,Unaccompanied,New,Furniture,POS,XNA,Regional / Local,509,Furniture,12.0,middle,POS industry with interest,365243.0,-1923.0,-1593.0,-1593.0,-1590.0,0.0
55,2160794,110490,Cash loans,,0.0,0.0,,,WEDNESDAY,11,Y,1,,,,XNA,Canceled,-323,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
56,2639856,108110,Cash loans,52026.165,1129500.0,1227901.5,,1129500.0,SATURDAY,13,Y,1,,,,XNA,Approved,-588,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,365243.0,-558.0,492.0,365243.0,365243.0,1.0
57,1789930,104856,Cash loans,19073.52,531000.0,531000.0,,531000.0,SATURDAY,10,Y,1,,,,XNA,Refused,-286,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48.0,low_normal,Cash X-Sell: low,,,,,,
58,2770803,109240,Cash loans,35761.59,679500.0,840951.0,,679500.0,THURSDAY,10,Y,1,,,,XNA,Refused,-75,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,low_normal,Cash X-Sell: low,,,,,,
59,2227969,100201,Consumer loans,3828.555,38610.0,29610.0,9000.0,38610.0,THURSDAY,19,Y,1,0.2538673447764357,,,XAP,Approved,-2424,Cash through the bank,XAP,Family,Repeater,Mobile,POS,XNA,Country-wide,31,Connectivity,10.0,high,POS mobile with interest,365243.0,-2393.0,-2123.0,-2123.0,-2120.0,0.0
60,1682966,102951,Consumer loans,14426.64,55485.0,55485.0,0.0,55485.0,MONDAY,13,Y,1,0.0,,,XAP,Approved,-822,XNA,XAP,,Repeater,Furniture,POS,XNA,Stone,708,Furniture,4.0,low_action,POS industry with interest,365243.0,-781.0,-691.0,-691.0,-682.0,0.0
61,2034342,100279,Cash loans,,0.0,0.0,,,THURSDAY,19,Y,1,,,,XNA,Canceled,-382,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
62,1843242,105535,Cash loans,33464.475,585000.0,654498.0,,585000.0,THURSDAY,7,Y,1,,,,XNA,Approved,-746,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,36.0,middle,Cash X-Sell: middle,365243.0,-716.0,334.0,-386.0,-372.0,1.0
63,1419029,105535,Cash loans,,0.0,0.0,,,WEDNESDAY,8,Y,1,,,,XNA,Canceled,-299,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
64,1465837,100587,Cash loans,16632.405,135000.0,162315.0,,135000.0,FRIDAY,14,Y,1,,,,XNA,Approved,-433,Cash through the bank,XAP,,Refreshed,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12.0,middle,Cash X-Sell: middle,365243.0,-403.0,-73.0,-73.0,-67.0,1.0
65,2581300,102345,Cash loans,25012.755,270000.0,332784.0,,270000.0,WEDNESDAY,11,Y,1,,,,XNA,Refused,-421,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,,,,,,
66,1328618,106954,Cash loans,11093.265,135000.0,148365.0,,135000.0,THURSDAY,17,Y,1,,,,XNA,Approved,-804,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,18.0,middle,Cash X-Sell: middle,365243.0,-774.0,-264.0,-264.0,-262.0,1.0
